title,year,genres,rating,directors,description
Avoveteen,1939,Drama,5.4,Orvo Saarikivi,"Yrjö Niemelä moves to Helsinki. There he, unemployed, homeless, and penniless, tries to commit suicide but is rescued by a soldier of the Salvation Army."
B'Ein Moledet,1956,Drama,6.5,Nuri Habib,This is the story of a small band of Jews who traveled on foot from Yemen to Israel in 1926. Naomi (Shoshana Damari) is a Jewish woman who was orphaned as a child and works as an entertainer... Read all
Ba'al Hahalomot,1962,"Animation, Drama",5.2,"Alina Gross, Yoram Gross",The story of the Biblical Joseph and his coat of many colors.
Baba Luba,1995,Documentary,6.2,Julie Shles,
Badranit Ba'hatzot,1977,"Drama, Music",5.5,George Obadiah,"Tiki Dayan is an overweight girl who gains the attention of singer Pik. He wants only a professional relationship with her, she wants romance."
Ballhaus Barmbek,1988,,6.3,Christel Buschmann,"A study of the alienated people who frequent the Ballhaus Barmbek dance hall, including an obese El groupie, an old man reciting poetry, two young women and a regular dance employee."
Banot,1985,Comedy,6.2,Nadav Levitan,Four weeks of basic training for girls in the IDF: seven girls and two sergeants from different backgrounds.
Barbacoa sangrienta,1997,"Horror, Thriller",4.5,"Albert Cervera, Iñaki Devesa, Guillem Feliú","Un grupo de jóvenes se disponen a realizar una barbacoa en casa de un excéntrico amigo. Todo va perfectamente hasta que se comienzan a producir una serie de extraños sucesos, que desencadena... Read all"
My Father's House,1947,Drama,4.6,"Herbert Kline, Joseph Lejtes, Ben Oyserman",A boy who survived the Holocaust hopes to be reunited with his parents in the Holy Land.
Belfer,1978,Drama,7.9,Yigal Bursztyn,
Ben Gurion Zoher,1972,Documentary,7.3,Simon Hesera,
Berlin-Yerushalaim,1989,Drama,6.1,Amos Gitai,"Two interconnected stories in the 1930s, one set in Berlin, the other in Palestine: Mania Vilbouchevich Shohat (1880-1961), called Tania, a Russian Jew and revolutionary, goes from Minsk to ... Read all"
Лучшие планы,1999,"Crime, Drama, Thriller",6.1,Mike Barker,"A botched robbery leads two crooks and an unwitting buddy into a web of passion, crime and murder in this twist-laden film noir."
Шафер,1997,"Comedy, Drama",6.1,Pupi Avati,"Incredibly, the bride at the altar falls in love with the best man on first sight, and even though he makes efforts to avoid her infatuation with him, she is determined to annul her marriage... Read all"
Beyond Paradise,1998,Drama,5.5,David L. Cunningham,A young Californian moves to Hawaii where he is befriended by three Hawaiians who show him Hawaii beyond the postcard image.
The Birth of a Race,1918,Drama,5.8,John W. Noble,"After a biblical and historical prologue detailing the evolution of the idea of democracy through the creation of the world, the flood, the crucifixion of Christ, the discovery of America, t... Read all"
Black & White Affair,1984,Adult,6.2,Jack Genero,The offbeat sexual adventures of Lord and Lady Harrington (Jack Baker and Sahara).
The Black Anal-ist,1988,Adult,6.8,Ron Jeremy,
Black Baby Dolls,1985,Adult,7.4,"Billy Dee, Sahara, Lady Stephanie",
Black Chicks in Heat,1988,Adult,6.0,Ron Jeremy,"Two black girlfriends find themselves getting low on money, so they decide to start a stripping-telegram service."
The Black Chill,1986,Adult,4.6,William Whett,
Black Cobra,1990,Adult,5.7,CB deVille,
Black Fox,1988,Adult,6.1,Ron Jeremy,
Black Lava,1986,Adult,6.9,Gary Graver,
Black Neighbors,1975,Adult,5.2,"Richard Mailer, Stu Segall",A newlywed black couple join the swingers' scene in San Francisco for some interracial sex parties.
Tapestry of Passion,1976,"Adult, Crime, Thriller",5.6,Alan Colberg,A private dick inquires about a series of ritual murders in town.
Blonde Desire,1984,Adult,7.4,"Bunny Bleu, Pamela Jennings, Ron Jeremy",
Blonde Ice,1990,Adult,5.8,Scotty Fox,
Blonde on Black,1985,Adult,6.9,Mark Rigney,
Blondie,1985,Adult,5.4,Bob Chinn,"Adulterous relationships abound at the ""Grand Bahamas Hotel"" as the spouses get even in this sexual romp staring a bevy of 1980's stars."
Blowdry,1976,"Adult, Comedy",5.3,David Secter,"A XXX-rated take on Shampoo (1975), this big-budget artsy New York comedy tells the story of Pepe, an ambitious, virile hairdresser with dreams of opening his own salon, while sleeping his w... Read all"
Blowing Your Mind,1984,Adult,5.8,Joseph W. Sarno,
Blow-Off!,1987,"Adult, Mystery, Thriller",6.4,Peter Moss,Mr. Canoga hires Paula Wentworth to date and seduce politicians with private detective Nick King taping it. Paula moves on from Senator Duncan to Mr. Howard and his assistant Miss June and f... Read all
The Blue Balloon,1973,"Adult, Crime",4.6,Svig Sven,Lisbeth's husband has been drafted and she becomes alone when he is gone. She gets into the hands of a lesbian woman who abuses her and takes her to an isolated farm where several men use he... Read all
Blue Heaven,1990,Adult,3.4,Ron Jeremy,
Bo Nefotzetz Million,1977,Drama,6.3,Shmuel Imberman,"For eight and a half years Grego, known as ""The Greek"", is in prison and contimuously planning his revenge former partner, Shaby. So is it a big surprise when the great enemy of Shaby is ext... Read all"
Böcek,1995,,5.8,Ümit Elçi,
The Bod Squad,1989,Adult,6.4,Jim Enright,
Bodies by Jackie,1985,Adult,5.2,David DeCoteau,
Body Candy,1980,Adult,6.4,Dale J. Martin,
Boiling Desires,1987,"Adult, Romance",5.3,Carlos Tobalina,Two teenage girl roommates have sex with their boyfriends as well as their teacher.
Honenuki,1967,"Crime, Drama, Horror, Romance",5.6,Seiichi Fukuda,"When the two lovers Yukio and Minoru meet again after four years of separation, they find that their old feelings are not dead. The problem is that Yukio is now married. But things get reall... Read all"
La bonne tisane,1958,"Comedy, Crime, Drama, Thriller",5.6,Hervé Bromberger,"A gangster is back in business after a while and tries to take it back. In the hard way. But every thing goes wrong for him. In the same time, we watch the fate of a young nurse in a hospita... Read all"
Born to Burn,1988,Adult,6.4,Roy Karch,
The Bottom of the World,1920,Documentary,4.9,Ernest Shackleton,"The true story of Sir Ernest Shackleton's dramatic exploratory journey to Antarctica aboard the Endurance, during which the ship and all aboard became icebound."
Bouba,1987,Drama,6.1,Ze'ev Revach,"Set against the scenic backdrop of a vibrant New England fall... a story of homecoming and healing unfolds when Kurt (Dan Clay) hits the streets of Garrison Falls, New Hampshire. Traveling f... Read all"
The Boy from Stalingrad,1943,"Drama, War",6.2,"Sidney Salkow, Tay Garnett","Russian children out in the fields gathering grain find themselves in the path of the invading German army making its way to Stalingrad, a target city of their onslaught. The four youths, Ko... Read all"
Du foutre plein le cul,1984,Adult,5.9,José Bénazéraf,"A trio of female burglars plan to break into a house by going through the garage. However, they find a stash of porn mags and various sex toys in the garage, and busy themselves with those i... Read all"
Breast Stroke 3,1989,"Adult, Comedy",6.1,A.H. Lawrence,"After one bang with his pretty secretary, Mr. Atwater is off to the pearly gates - and just after he finished his new will, leaving everything to the one woman he could never seduce, his mai... Read all"
Brute Therapy,1971,"Adult, Crime, Drama",4.3,"Rene Bond, Charlotte Holstein, Ric Lutze",
Call Her Sausage,1933,"Comedy, Music, Short",4.0,Gus Meins,"Ben proves to be the undoing when Billy opens a new deli. Ben and Billy do a variation of the famous ""who's on first"" skit."
Tamponnal bemehetek-e a vízbe?,1996,Short,6.5,Csongor Gáspár,
Cerro Pelado,1966,"Documentary, Short",6.8,Santiago Álvarez,"Though lesser known than Leni Riefenstahl's OLYMPIA or Kon Ichikawa's TOKYO OLYMPIAD, Santiago Alvarez's tribute to Cuba's sporting triumphs is no less breathtaking. A ship of athletes train... Read all"
Champagner,1929,"Comedy, Romance",6.7,Géza von Bolváry,"Jenny works in the kitchen of a luxurious hotel and is in love with Jean, the charming headwaiter. But the latter has his eyes on Lola, the hotel dancer, who is kept by a senile millionaire.... Read all"
Charlie Ve'hetzi,1974,"Comedy, Drama, Romance",6.8,Boaz Davidson,Charlie passes himself off as a rich businessman but gets by through fleecing suckers with 3-Card Monte. Miko is a street kid who spends his time with Charlie instead of going to school; his... Read all
Christoph Columbus,1923,,6.2,Márton Garas,
La città dolente,1997,Short,7.1,Geir Hansteen Jorgensen,"A short film without dialogue. A surrealistic investigation of a city in destruction. The title meaning ""The city of woe"" comes from ""The Divina Commedia"". In a dark undefined inferno of aba... Read all"
Coca Cola Kid,1997,"Comedy, Drama, Fantasy, Short",7.0,Milos Djukelic,
Sia dai 2,1996,Drama,6.3,Chatrichalerm Yukol,
La deuda,1997,Drama,8.0,"Nicolás Buenaventura, Manuel José Álvarez","A usurer nicknamed The Turk is killed. Mysteriously, everyone in the village had problems with him and anyone could have been his killer."
Desires of Innocence,1997,Drama,4.5,Eric Gibson,Three young women on vacation find men and trouble when one of the women accidently grabs the wrong suitcase which is full of money.
Doar Tz'vaee Hof Eilat,1989,Comedy,4.5,Dubi Gal,Gershon is faking a requirement call for him from the Army so he can leave home to spend the weekend in Eilat with his young secretary but what he do not know is that his wife planning the e... Read all
Double Up,1943,"Comedy, Short",5.7,Ben Holmes,Leon hires a lookalike to take his place at home every night while he goes out partying.
Edut Me'ones,1984,"Drama, Thriller",4.2,Raphael Rebibo,
Elef Nishikot K'tanot,1981,Drama,5.4,Mira Recanati,"In contemporary Tel Aviv, a mother and daughter confront each other after the death of the father/husband and the discovery of the dead man's secret affair. The daughter is drawn irresistibl... Read all"
Esh Tzolevet,1989,"Drama, Romance, War",6.9,Gideon Ganani,
Esther,1986,Drama,6.2,Amos Gitai,"Ahasverus, king of Persia and Media, puts aside Vashti and makes Esther his queen, choosing her among maidens in a kingdom stretching from India to Ethiopia. Esther, using information from M... Read all"
Etz O Palestina,1962,"Comedy, Documentary",6.6,"Nathan Axelrod, Joel Silberg, Uri Zohar",
An Evening Alone,1938,"Comedy, Short",6.3,Roy Rowland,"With his wife gone for the evening, a man is left alone at home. Left alone to their own devices, men tend to be more thoughtful and analytical in deciding what to do than women. This man de... Read all"
An Evening with the Royal Ballet,1963,"Documentary, Music",7.7,"Anthony Asquith, Anthony Havelock-Allan","Documentary about the Royal Ballet. Includes selections from ""Les Sylphides"" and ""The Sleeping Beauty""."
Everything's Ducky,1934,"Comedy, Short",5.7,Ben Holmes,"Bobby Clark and Paul McCullough take to the streets as pots and pans salesmen, wreaking havoc door to door with their demonstrations of their cookware."
Ervinka,1967,Comedy,7.3,Ephraim Kishon,"A good-natured but incorrigible layabout becomes embroiled in a plot to rob the Israeli lottery, all the while indulging in his boundless zeal for mischief and romance."
Опыт креста,1995,"Crime, Documentary",7.6,"Taras Popov, Vladimir Tyulkin","A harrowing look at a boys' prison in Kazakhstan. Excerpts of this video were aired on a ""60 Minutes"" segment in 1997."
Факультет,1998,"Alien Invasion, Monster Horror, Teen Horror, Horror, Mystery, Sci-Fi",6.6,Robert Rodriguez,"When Casey Connor, Herrington High School's newspaper photographer, witnesses the murder of a nurse and sees her alive again, he decides to investigate the bizarre happenings."
Fallen Arches,2000,"Crime, Drama, Thriller",6.5,Ron Cosentino,"Transplanted from New York, Duke and his brother Frankie Romano live in a rundown LA apartment with their alcoholic mother (Karen Black)."
Famous Boners,1942,"Political Drama, Family, History, Short",6.2,Douglas Foster,"This Passing Parade series entry looks at four instances of people who either caused or were the victims of errors, including Sir Isaac Newton, historian Thomas Carlyle, an escaped prisoner ... Read all"
Fancy Curves,1932,"Short, Sport",7.0,Lou Breslow,"After talking to a young coed in the stands at a game, Ruth agrees to go out to her girls college to give some instruction to their ball team. He does so and when their big game takes place,... Read all"
Fantasia Al Noseh Romanti,1977,Drama,7.8,Vitek Tracz,
The Fantastic World of M.C. Escher,1980,Documentary,6.4,Michele Emmer,Explores the life and work of the Dutch graphic artist M.C. Escher.
The Feud Maker,1938,"Drama, Western",5.4,Sam Newfield,"When Tex is brought in to fight in a range war between the cowmen and the nesters, he meets his old outlaw boss Lassiter."
Flash,1987,"Action, Drama",4.5,Doron Eran,A couple becomes hostage when a frantic soldier takes over their house. This social drama depicts the state of the Israeli society following the devastating 1984 war.
Floch,1972,Drama,8.2,Dan Wolman,"Floch, a seventy year old man loses his son, daughter in-law and grandson, who are all killed in a car accident. He goes into deep depression and feels that he can't leave this world without... Read all"
Flying Hunters,1934,"Documentary, Short",7.4,Jack Draper,Documentary about hunting coyotes by aircraft over the Montana plains.
Frühlingsstimmen,1933,,6.8,Pál Fejös,
Geared to Go,1924,Drama,7.3,Albert S. Rogell,
Gem-Jams,1943,"Comedy, Short",6.6,Lambert Hillyer,Leon tells his wife that he has to leave to meet a client--unaware that the client is a beautiful woman and that his wife is suspicious.
General Custer at the Little Big Horn,1926,"Drama, Western",5.2,Harry L. Fraser,"Frontier scout, buffalo hunter, and all-around good guy Lem Hawks romances Betty Rossman amid the backdrop of a fictional account of events that lead to the Battle of Little Bighorn."
Gesher Tzar Me'od,1985,"Drama, Romance",6.3,Nissim Dayan,"An impossible love affair between Benny, a lawyer doing his reserve millitary duty, and Leyla, a Librarian from the West Bank town of Ramallah."
Getting Started,1979,"Animation, Comedy, Family, Music, Short",6.6,Richard Condie,"A concert pianist prepares to begin his practising for a major concert coming up. Unfortunately, he has this procrastination problem that prevents him from getting any serious time done, eve... Read all"
The Ghetto Shamrock,1926,Drama,1.6,Francis Ford,Silent feature film directed by Francis Ford.
The Ghost Rider,1925,Western,5.2,Bob Williamson,
The Girl of Gold,1925,"Drama, Romance",6.7,John Ince,"Helen Merrimore, the daughter of a mine owner, is snubbed by New York society. Weary of being courted for her wealth, she attends under an assumed name a house party being given by Ned and E... Read all"
The Grub Stake,1923,"Action, Adventure, Drama",7.1,"Nell Shipman, Bert Van Tuyle","A young woman is lured to the Yukon by a gambler with promises of marriage and a grubstake for a gold mine. She takes her ailing father with her, only to discover when she gets there that th... Read all"
Golpe de suerte,1992,,6.6,Marcela Fernández Violante,A story of a obsessed boy who incessantly masterbates. When his compulsion finally comes out in the open and become a problem for him and his family his parents try very hard to get him to s... Read all
The Great Day,1920,Drama,6.7,Hugh Ford,"The 'dead' wife of a steel process inventor returns, as does her 'dead' husband, a war amnesiac."
Machismo: 40 Graves for 40 Guns,1971,"Spaghetti Western, Crime, Drama, Western",5.5,Paul Hunt,A Mexican bandit and his gang are offered a pardon and a cash reward if he will cross the border into America and bring back a gang of murderous gold thieves who robbed the local church and ... Read all
Groupie,1993,Drama,5.9,Nadav Levitan,A girl named Michal is on a search to find her heart-throb movie star. As she is waiting outside of the hotel to see him she encounters a group of girls and a lesson she'll never forget.
The Grub Stake,1923,"Action, Adventure, Drama",7.1,"Nell Shipman, Bert Van Tuyle","A young woman is lured to the Yukon by a gambler with promises of marriage and a grubstake for a gold mine. She takes her ailing father with her, only to discover when she gets there that th... Read all"
Der grüne Kaiser,1939,"Crime, Drama",6.0,Paul Mundorf,"From a real story about a Belgian banker who disappeared from his plane across the English Channel, the plot centers on a pilot sentenced for murdering his boss, when that man had vanished d... Read all"
Гуру,1997,"Drama, Fantasy",8.5,Rajiv Anchal,Situations turn a man who believes in secularism into an extremist. He plots to bomb a monastery where the survivors of a riot take refuge.
Hagiga Le'enayim,1975,"Comedy, Drama",7.3,Assi Dayan,
Haham Gamliel,1973,"Comedy, Drama",5.8,Joel Silberg,"A popular wise man/folk healer is anxious to marry off his daughter, but she refuses all his suggested suitors."
Кое-что о Дэнни,1998,"Comedy, Romance",4.2,Dean Paraskevopoulos,A self-obsessed man runs through one woman after another in this screwball comedy. One of his rejected former lovers decides to take it upon herself to see to it that he never develops anoth... Read all
Halome Ami,1933,Documentary,5.4,A.J. Bloome,"Early documentary on Palestine, featuring the last appearance of Cantor Yossele Rosenblatt."
Sabra,1933,Drama,3.1,Aleksander Ford,Describe the harsh reality attempts of establishing a Jewish settlement in Israel and the efforts of the Arab to prevent it. The film is considered as the first talking film in Palestine Isr... Read all
Hamesh Ma'ot Elef Shahor,1977,"Comedy, Drama",6.1,Shaike Ophir,
Hamisha Yamim B'Sinai,1968,"Action, Drama, War",4.8,Maurizio Lucidi,"Eight Israeli soldiers are sent on a mission to take control of an enemy missile base, but face a deadly counterattack."
Happily Buried,1939,"Musical, Romance, Short",5.4,Felix E. Feist,"For some unknown reason, the sale of waffle irons has plummeted, equally and negatively affecting family owned and operated Four Square and Magic Circle, two of the leading waffle iron compa... Read all"
The Harem Bunch,1969,"Adventure, Comedy",5.0,Paul Hunt,"Three beautiful Israeli spies go undercover and infiltrate a terrorist training camp, but are discovered, captured and interrogated (in various stages of nudity)."
Urs al-jalil,1987,Drama,6.7,Michel Khleifi,"A Palestinian father seeks Israeli permission to waive curfew to give his son a fine wedding. Tensions rise as the ceremony proceeds, with youths plotting violence and a loose horse running ... Read all"
Hayeh Ahaltah Otah,1980,Comedy,4.2,"Yehuda Barkan, Yigal Shilon",A few seconds are devoted to giving this candid-camera movie a bit of a framework: prankster Yuda Barkan volunteers to show bright-eyed visitor Caroline Langford the foibles of the Israeli p... Read all
Hedelmätön puu,1947,Drama,4.9,Hannu Leminen,
Helena,1924,"Action, Drama, History, Romance, War",6.7,Manfred Noa,"Helena is a 1924 German silent drama film directed by Manfred Noa and starring Edy Darclea, Vladimir Gajdarov and Albert Steinrück."
Heroes of the Alamo,1937,"Adventure, History, War, Western",5.8,Harry L. Fraser,"In early spring of 1833, the smoldering resentment of American settlers in Texas against their oppression by Mexico dictator General Santa Anna/Ana coming to a head. When a decree is issued ... Read all"
Новый братишка,1991,"Animation, Comedy, Drama, Family, Fantasy",6.7,"Jenõ Koltai, Tibor Hernádi","Abandoned in the woods, a little puppy makes friends with six rabbit siblings."
Hetzi Hetzi,1971,"Comedy, Drama",3.9,Boaz Davidson,"Fifty Fifty is a comedy that takes place in Tel Aviv during the early 70's. Grossman is a bakery owner who wins the lottery, however, he holds only half of the winning ticket. The other half... Read all"
Hi De Ho,1937,"Musical, Short",6.8,Roy Mack,"Young Cab Calloway's mother is concerned because Cab spends his days listening to the radio, pretending to lead an orchestra. A deacon, passing by the apartment, hears him singing and advise... Read all"
Hilda Humphrey,2002,"Comedy, Short",7.7,Nick Lyon,"A young girl grows up. In the beginning, she seems to be a normal girl, but later her decisions begin to be somewhat different."
Hitler iz naseg sokaka,1975,"Drama, War",7.1,Vladimir Tadej,"Before and during WW II and the German occupation of Serbia, in a village in Vojvodina, inhabitants are separated based on their nationality. Local Volksdeutschers (ethnic Germans) enlist wi... Read all"
Brennender Sand,1960,Adventure,5.3,Raphael Nussbaum,"A group of adventurers search for a treasure of ancient biblical scrolls that the;y believe are hidden in the lost city of Petra, somewhere in Jordan. According to legend, no one has ever co... Read all"
Honeymoon Blues,1946,"Comedy, Romance, Short",6.0,Edward Bernds,"Immediately after his wedding, Hugh's boss comes to him with an important job - he is to ingratiate himself with an important client's mistress and retrieve some incriminating love letters."
Der Hund mit dem Monokel,1916,Comedy,8.0,Felix Basch,
Ihmemies,1979,"Satire, Comedy",5.3,Antti Peippo,Olli Ruusunen is the data-expert that proposes the serious measures that will save the company from an economic collapse. His drastic savings programs forces the board to resign. Olli must g... Read all
Nag la bombe,1999,Drama,5.1,Jean-Louis Milesi,
Jedermann,1961,Drama,5.7,Gottfried Reinhardt,"Death is sent by God to summon the wealthy bon vivant Jedermann. In his time of greatest need, he is abandoned by his lover, friends and wealth."
Kanavan laidalla,1949,"Drama, Romance",5.5,Ilmari Unho,
Kertokaa se hänelle...,1961,"Biography, Drama, History, Music, War",4.6,Åke Lindman,"Fictionalised biopic of Finnish tenor Mauno Kuusisto, taking its title from his most popular song which remains the all-time best-selling single record in Finland. An orphaned boy, singing i... Read all"
Kesäkapina,1970,"Comedy, Drama",5.9,Jaakko Pakkasvirta,"Young photography model Susanna and her alienated teenage brother Veli spend the summer of 1969 travelling around Finland, mostly with another girl and her boyfriend. Sporting the latest fas... Read all"
Killer-Dog,1936,"Crime, Drama, Short",6.2,Jacques Tourneur,"""Major,"" a German Shepherd is accused of murdering a sheep and brought to trial."
Kirkastuva sävel,1946,"Comedy, Drama, Musical",3.9,Edvin Laine,Musical about a machine shop worker who attempts a new career as a singer.
Klein Dorrit,1934,Drama,7.4,Karel Lamac,"The film tells the story of Amy Dorrit, who spends her days earning money for the family and looking after her proud father, who is a long term inmate of Marshalsea debtors' prison in London... Read all"
De Kollega's maken de brug!,1988,Comedy,5.7,Vincent Rouffaer,"The movie made after the hit series ""De Kollega's"" starring the same characters, but rather tragicomic. When November 11, an official holiday (Armistice), falls on a Tuesday, the public serv... Read all"
Komppanian neropatit,1952,Comedy,3.5,"Matti Oravisto, Pentti Viljanen",
Kukuli,1961,Drama,6.4,"Luis Figueroa, Eulogio Nishiyama, César Villanueva","Kukuli, a young llama herder, leaves her grandparents in the countryside of Cusco to attend the Feast of Mamacha Carmen in the town of Paucartambo."
Kultainen kynttilänjalka,1946,"Crime, Drama",5.4,Edvin Laine,"Two men steal a precious candelabra at a mansion they accidentally burn down. Two years later, one of the thieves is a wealthy property owner. But he is tormented by his memories and debt."
Золотая лихорадка,1997,"Adventure, Comedy",7.2,Matti Grönberg,"An escaped mental patient, two losers and a gay nurse go onto a roadtrip in order to find a secret gold treasure."
Kun tuomi kukkii,1962,"Drama, Music, Romance",5.5,Åke Lindman,A story about a farm trader who falls in love with a rich girl with many admirers.
Kuriton sukupolvi,1937,Comedy,5.4,Wilho Ilmari,A busy professor begins to educate his ill-behaved offspring.
Kuudes käsky,1947,"Drama, Romance",5.1,Orvo Saarikivi,
Die letzte Fahrt der Santa Margareta,1936,"Adventure, Crime",6.6,Georg Zoch,"A captain from Hamburg takes over the command of a yacht, unaware that it's smuggling liquor. The action revolves around love, attacks on customs guards, a storm on the high seas, a capsized... Read all"
Life Is Too Short to Dance with Ugly Women,1996,Short,5.7,Lars Kraume,"A young man is forced by his new girlfriend to prove his guts and rob a supermarket. Of course, everything goes wrong and he has to find a solution quick in order to avoid contact with the o... Read all"
Lithivm,1998,Thriller,2.5,David Flamholc,"Hanna becomes an intern at a newspaper, and immediately begin to hunt for the big scoop. By chance, she stumbles on some cases of missing women. The info brings her close to an active serial... Read all"
The Little Ballerina,1947,Drama,5.5,Lewis Gilbert,A young girl has an ambition to dance with the famous Sadlers Wells troupe but first she must win a scholarship. Includes a performance of Les Sylphides by Margot Fonteyn.
Мышонок-сапожник,1997,"Adventure, Animation, Family, Fantasy, Musical",7.2,Milan Blazekovic,"Fed up with the harsh treatment his master has given him, a brave little mouse (and later his dog, Brewster) sets off on an adventure."
Little Wolf,1992,"Animation, Short",7.3,An Vrombaut,"Four grown wolves and a little one chase a sheep through the night. Little Wolf stops, captivated by the moon. He catches hold of it, and then the moon rises, with Little Wolf hanging on. Th... Read all"
Canada Vignettes: Log Driver's Waltz,1979,"Animation, Comedy, Family, Music, Romance, Short",7.1,John Weldon,"A short illustrating a traditional Canadian folk song about a woman's admiration for the agility for her boyfriend, the log driver."
Lumisten metsien tyttö,1960,Drama,5.5,William Markus,A man gets a job as a teacher in Northern Finland and has to face the harsh conditions and prejudices of the local people while also falling in love with a strong-willed woman.
The Man's Angle,1942,"Comedy, Short",7.0,Leslie M. Roush,"Via the experiences of Mr. Doakes, Mr. Benchley now explains to us how men experience the downside of some women."
Der Mann mit der eisernen Maske,1923,"Adventure, Drama",7.4,Max Glass,"Cardinal Richelieu gives the order that the twin brother of France's King Louis XIV should be removed from the court and taken to the country. There he is educated, without knowledge of his ... Read all"
Осада,1998,"Political Thriller, Action, Thriller",6.4,Edward Zwick,"The secret U.S. abduction of a suspected terrorist leads to a wave of terrorist attacks in New York City, which leads to the declaration of martial-law."
Menneisyyden varjo,1946,"Tragedy, Drama",5.5,Ville Salminen,
Mentiras piadosas,1989,Drama,6.8,Arturo Ripstein,"Set in Mexico City, Mentiras Piadosas is the doomed love story of Clara and Israel. She is a health inspector and he is an herb merchant, who is obsessed with the construction of an enormous... Read all"
Miehen kylkiluu,1937,Comedy,4.2,"Hugo Hytönen, Orvo Saarikivi",Pharmacy student Aina Zinck and doctor Yrjö Kallio are a dating young couple who are drawn into a pattern of jealousy.
Milagros,1997,Drama,7.3,Marilou Diaz-Abaya,"Milagros is a prostitute who becomes the maid of a family of four men. With them, she finds the family she never had. With her, each man finds the salvation he needs. Together, they begin to... Read all"
Отель страсти,1997,Thriller,4.6,Sam Firstenberg,"Kyle Rivers has joined the Dpt of Defense as an investigator. Her first assignment is to do a background check on Lana Hawking, scientist for a top secret clearance."
The Movie Album,1932,"Comedy, Documentary, Short",6.2,Herman Ruby,"This short features clips from silent films (mostly unidentified) of the 1910's, accompanied by humorous commentary. Highlighted are early appearances of stars still recognized today (e.g., ... Read all"
Убийца ворон,1998,"Action, Crime, Thriller",6.3,Rowdy Herrington,"A disbarred lawyer takes credit for a late friend's book, which becomes a smash hit but the tables turn on him sooner than he suspected."
Musiquiz,1952,"Music, Short",6.0,Dave O'Brien,"A music quiz, plus a survey of various unusual musical instruments."
My Brother's War,1997,"Action, Thriller",4.9,James Brolin,CIA guy and IRA guy reluctantly team up to catch IRA guy's rogue brother.
Sen de Gitme,1995,Drama,6.8,Tunç Basaran,
New Roadways,1939,"History, Short",5.8,Basil Wrangell,"In the laboratory, glass is rolled like a carpet and spun into cloth. Cotton, corn and wood are utilized to form new substances. Additional treasures of the sea are sought - the beach is plo... Read all"
Niskavuoren naiset,1938,"Drama, Romance",6.5,Valentin Vaala,The first Finnish talking picture (with English subtitles) to be released in the United States is a story of the conflict between the old and new orders of living. Tauno Palo marries Irja La... Read all
