title,year,genres,rating,directors,description
Närkontakt,1997,"Drama, Short",7.5,Geir Hansteen Jorgensen,"After the divorce 14-year old Nina lives with her father, a UFO-observer. He's not the warmest of fathers, which troubles their relationship. One night, when he is out looking for aliens, sh... Read all"
Når mor kommer hjem...,1998,Family,5.6,Lone Scherfig,Three siblings ingeniously avoid being sent off to a children's home while their single mother serves a short prison sentence for shoplifting by inventing a 'never present' dad who is lookin... Read all
Nöd ut,1996,"Short, Thriller",8.0,Geir Hansteen Jorgensen,"They kidnapped a specialist on theatre masks to gain some style for their bankrobberies, but found forces they could not control."
Over the Fence,1932,"Short, Sport",9.0,Lou Breslow,
Paljas,1997,Drama,7.4,Katinka Heyns,A family's life in the Karoo (a semi-desert area in South Africa) is changed when a travelling circus leaves behind a clown.
Еще один день в раю,1998,"Crime, Drama, Thriller",6.5,Larry Clark,"In the hope of a big score, two junkie couples team up to commit various drug robberies which go disastrously wrong, leading to dissent, violence, and murder."
Pardes,1950,"Drama, Family",8.3,M. Sadiq,"Rajan, a teacher, falls in love with Chanda, a wealthy girl. However, he decides to go away from Chanda to earn money."
Patrioten,1937,"Drama, Romance, War",6.8,Karl Ritter,"The sole thing giving hope to a German flyer downed over France in the Great War, as he longs for his return home, is the love from a young woman."
Pete Townshend,1982,"Documentary, Music, Short",7.6,Pete Townshend,"Pete Townshend performs a number of his songs including: Prelude, Face Dances Part 2, Communication, Stardom in Action, Exquisitely Bored, Slit Skirts, Uniforms."
Deep End,1985,"Documentary, Music",8.0,Keef,"Pete Townshend performs with his supergroup Deep End, live at the Brixton Academy, London, November 1985. He formed the 14 strong Deep End band from musicians who played on his 1985 album Wh... Read all"
Petits désordres amoureux,1998,"Comedy, Drama",6.4,Olivier Péray,"Alain works together with Lionel at a publishing company, and Lionel is called ""sex machine"" there for his endless affairs. Alain bets Lionel that he couldn't fall with a woman and spend a n... Read all"
Afula Express,1997,"Comedy, Drama, Romance",6.8,Julie Shles,"David is a garage electrician, who dreamt all of his life of becoming a magician, but had no luck in it. His girlfriend Batya wants an ordinary life, but David is still looking for his dream... Read all"
Pinsiön parooni,1962,"Comedy, Romance",6.3,Edvin Laine,
Планкетт и Маклейн,1999,"Period Drama, Action, Adventure, Comedy, Crime, Drama",6.3,Jake Scott,"Two robbers are persecuted by the law, whose servants are not much better and even worse."
Poikamies-pappa,1941,"Comedy, War",5.4,Orvo Saarikivi,
Poikamiesten holhokki,1938,"Comedy, Romance",5.1,Orvo Saarikivi,"Orphaned northern girl moves to Helsinki to stay with a distant relative Mauri Teräs, who has been appointed her guardian. She irritates, amuses, and charms Mauri, who is used to socializing... Read all"
Poisoned Kiss,1994,"Crime, Drama, Thriller",4.9,Sayaka J. Azuma,"A group of rich women gather for a night of sex, fun and games. Meanwhile a detective and ex-reporter investigate the games to find out what's going on and stumble into a murder plot."
Police Call,1933,"Action, Crime, Drama, Sport",7.0,Phil Whitman,"A professional fighter decides to quit the sport and go to college, but he finds out that his sister has gotten mixed up with gangsters."
Possum,1997,"Drama, Short",7.0,Brad McGann,"In a backwoods cabin, a boy called Little Man lives with his dad (a trapper), his older sister Missy, and his younger sister Kid, who is feral, spends most of her time under the table, and c... Read all"
The Prince's Trust Rock Gala,1982,"Documentary, Music",6.7,"Kid Jensen, Ian Anderson, Joan Armatrading",
Пустельга,1992,,4.5,Sergei Rusakov,
Rail Ka Dibba,1953,Drama,8.0,Prem Narayan Arora,"A heartwarming tale of good-samaritanism: A poor but large-hearted young man gives shelter to three helpless, forlorn people in his home--an abandoned railway coach. However, tensions arise ... Read all"
Respect the Law,1941,"Crime, Drama, Short",6.3,Joseph M. Newman,"Shows how so-called ""minor"" lawbreakers can do more damage than major criminals."
Ridin' the Trail,1940,Western,6.0,Raymond K. Johnson,"With the Government Remount Service unable to meet its quota of horses, Marshal Fred Martin arrives to try and find the rustlers. Apparently just a singing cowhand, he becomes the masked Two... Read all"
La riffa,1991,"Comedy, Drama, Romance",5.1,Francesco Laudadio,"An incredibly beautiful young woman loses her husband and in order to pay off his debts, she decided to set-up a raffle in which she is the prize."
Roaming Through Arizona,1944,"Documentary, Short",6.3,James A. FitzPatrick,"This Traveltalks entry first stops at some architectural landmarks in Tucson, Phoenix, and Prescott. It then looks at the mining town of Jerome and some natural wonders, before ending in Wic... Read all"
Hollywood Cops,1997,,6.0,Scott Shaw,Detective Jake Blade (Scott Shaw) is pursuing the Russian crime lord Rinaldi (William Smith).
Roma contro Roma,1964,"Action, Adventure, Drama, Fantasy, Horror",4.6,Giuseppe Vari,A fantastic yarn about a plot to conquer the world with an army of zombies!
Rottasota,1968,"Crime, Drama",4.8,Maunu Kurkvaara,
The Royal Ballet,1960,Music,8.4,Paul Czinner,"Filmed on the stage of London's Covent Garden. Includes extracts from Swan lake, Ondine & The Firebird."
Карапузы,1998,"Buddy Comedy, Hand-Drawn Animation, Pop Musical, Quest, Survival, Urban Adventure, Adventure, Animation, Comedy, Drama",5.9,"Igor Kovalyov, Norton Virgien",The babies gets lost in the forest after Tommy Pickles gets a new baby brother.
Runt Page,1932,"Comedy, Family, Short",4.5,Ray Nazarro,"A little girl falls asleep as her parents and their friends discuss the film ""The Front Page"", and she dreams about reporters, a cop, and an escaped convict (all played by children)."
Ruusu ja kulkuri,1948,"Biography, Drama, Music",5.9,Ilmari Unho,
Veille d'armes,1935,"Drama, War",6.0,Marcel L'Herbier,"In a time of national emergency, the wife of the Captain of a French battleship finds that her former lover is now the her husband's first officer. Her attempts to sort out this situation ge... Read all"
'Sankari kuin sankari',1948,"Comedy, Music",4.7,Hannu Leminen,
Крик 3,2000,"Slasher Horror, Suspense Mystery, Teen Horror, Whodunnit, Horror, Mystery",5.7,Wes Craven,"While Sidney and her friends visit the Hollywood set of Stab 3, the third film based on the Woodsboro murders, another Ghostface killer rises to terrorize them."
Le secret de Sarah Tombelaine,1991,"Fantasy, Horror, Mystery",5.5,Daniel Lacambre,A physicist discovers that an excavation site is a key to bringing about the Apocalypse.
Serenaadi sotatorvella,1939,"Farce, Comedy",3.8,T.J. Särkkä,
Serenaadiluutnantti,1949,"Comedy, Music",4.0,Ossi Elstelä,
Should Husbands Marry?,1947,"Comedy, Short",5.0,Del Lord,"Hugh Herbert's wife becomes suspicious when Hugh has to spend a lot of time away from home at conventions, but Hugh allays her concerns. He invites his boss and his wife for dinner, which, h... Read all"
Silvesternacht am Alexanderplatz,1939,,7.0,Richard Schneider-Edenkoben,"Young and old couples, elated, lonely and jealous hearts, hope and despair, crooked and honest souls, drunks and dutiful medics, a hit-and-run driver and the first baby of the year all conve... Read all"
Solstice,1993,Drama,5.9,Jerry A. Vasilatos,"For some people, the coldest, loneliest night of the year falls on Christmas Eve. ""Solstice"" tells the story of one of those people, Nick Allman (Mike Kelley), a disillusioned young man who ... Read all"
South of Arizona,1938,"Drama, Music, Western",6.1,Sam Nelson,"Kenyon has the newly arriving Ranger shot and his man Martin assume the Ranger's identity. Clay finds the Ranger before he dies and learns the truth. But when Clay confronts Martin, Martin c... Read all"
South of Santa Fe,1932,Western,6.6,Bert Glennon,"Stone kills Thorton but only gets one half of the map to Thorton's gold mine. Tom arrives, and trying to help Thorton's daughter Beth, sets out after Stone and the half of the map. Posing as... Read all"
Der Spieler,1938,Drama,7.5,Gerhard Lamprecht,
The Spook Speaks,1947,"Comedy, Short",6.8,Hal Yates,Leon's family decides to get him to try to stop drinking by convincing him that he's dead.
Storm,1943,"Documentary, Short",6.1,Paul Burnford,"A look at how the weather bureau tries to warn farmers and businessmen about approaching large storms. Although some precautions can be taken to lessen their impact, storms have to run their... Read all"
The Story of Dr. Jenner,1939,"Biography, Drama, Short",6.7,Henry K. Dunn,The story of the man who invented vaccination.
Талантливый мистер Рипли,1999,"Psychological Thriller, Crime, Drama, Thriller",7.4,Anthony Minghella,"In late 1950s New York, a young underachiever named Tom Ripley is sent to Italy to retrieve Dickie Greenleaf, a rich and spoiled millionaire playboy. But when the errand fails, Ripley takes ... Read all"
The Street,1976,"Animation, Comedy, Drama, Short",6.6,Caroline Leaf,"This film deals with a Jewish family in Montreal, Canada as they care for a dying grandmother and the young boy who is impatient to get the room he was promised as soon as she kicks the buck... Read all"
Suomalaistyttöjä Tukholmassa,1952,"Crime, Drama",4.5,Roland af Hällström,Three Finnish girls travel to Stockholm to look for work. But soon they notice that the big city is not such a great place as they thought. Most of the foreign men who they meet there are cr... Read all
Surfari,1967,Documentary,8.0,Milton Blair,A professional surfer and his rescued French friend venture to Hawaii after winning a plane ticket at a California surf contest. Spaghetti fights and half baked hijinx ensue.
Suuri sävelparaati,1959,"Comedy, Music, Musical",5.5,Jack Witikka,
The Sweater,1980,"Animation, Biography, Family, Short, Sport",7.1,Sheldon Cohen,A French Canadian boy endures the terrible shame when he receives the hockey sweater of the wrong team.
Synnin jäljet,1946,Drama,4.9,Hannu Leminen,"Tuula, Mirri and Aino are roommates in a nursing home. One night, both Mirri and Aino have been away late without permission: Mirri has celebrated with her fiancee Ragnar and survives throug... Read all"
Särkelä itte,1947,Comedy,5.5,Orvo Saarikivi,
Taas tyttö kadoksissa!,1957,"Comedy, Crime, Drama",4.5,Ville Salminen,A girl has disappeared. Her cheerful sister and policeman fiance try to solve the mystery.
Taistelu Heikkilän talosta,1936,Drama,6.0,Teuvo Tulio,"Jaakko returns to his home village after his parents have died. A villager, Matti, tells him a long and tragic tale about what really happened to Jaakko's parents. At the start of his story,... Read all"
Тараканьи бега,1993,,2.0,Roman Gaj,
El terrible gigante de las nieves,1963,"Horror, Sci-Fi",3.4,Jaime Salvador,A man and his wife discover they are in danger when they hear reports of a Yeti that lives on a nearby volcano is on the prowl.
Texas Tough Guy,1950,"Comedy, Short",6.6,Hal Yates,Leon poses as his cousin Tex to call off a marriage his daughter has been forced into.
Tri letnja dana,1997,Drama,6.1,Mirjana Vukomanovic,Life of refugees from Bosnia in Serbia during the war years.
Thumbelina,1970,"Family, Fantasy, Musical",1.5,Barry Mahon,Retelling of the classic children's tale from a 1960s psychedelic viewpoint.
Погоня с Дьяволом,1999,"Drama, Romance, War, Western",6.7,Ang Lee,"During the American Civil War, two friends join the Bushwhackers, a militant group loyal to the Confederacy."
To My Unborn Son,1943,"Drama, Short, War",6.0,László Kardos,"A Yugoslav father writes a letter to the son he will never see, explaining his resistance to the Nazi invasion of Yugoslavia."
Trape...,1996,"Documentary, Short",7.8,Diana Groó,
Trapped,1931,"Crime, Drama, Mystery, Short",5.8,Kurt Neumann,
Treasures from Trash,1946,"Comedy, Short",5.9,Dave O'Brien,"Documentary about an unusual Beverly Hills shop called the Patio Shop, run by former film director Harry Lachman."
Tres minutos en la oscuridad,1995,"Crime, Drama, Mystery, Thriller",5.4,Pablo Gómez Sáenz,"Four childhood friends decide to play a prank on an aunt of one of the four. Two enter the house and two others remain waiting in the car. When the alarm goes off, the two waiting in the car... Read all"
Twisted Nightmare,1987,"Slasher Horror, Teen Horror, Horror",4.3,Paul Hunt,Group of teens visits childhood summer camp. Members start vanishing mysteriously. Survivors suspect link to prior death of disabled child. Hunt for truth as disappearances escalate.
Two Gun Law,1937,Western,5.6,Leon Barsha,Another in the series of early-Charles Starrett westerns in which Columbia used the name of prolific writer Peter B. Kyne to imply he was the author and also in charge of the production by p... Read all
Työmiehen päiväkirja,1967,Drama,6.9,Risto Jarva,Leftist welder and right wing clerk get married. Soon enough they find themselves covered with financial and emotional problems.
Tähtisumua,1961,Music,5.0,Aarne Tarkas,
Una para llevar,1997,"Comedy, Crime, Short",7.8,Wilhem Hagelsieb,"One night, a well-dressed young man (Bernal) enters into a ""taquería"" (a taco restaurant) and asks for ""una para llevar"" (a five-tacos order to go). While waiting, the man sits besides a tee... Read all"
Der unbekannte Gast,1931,Comedy,6.2,E.W. Emo,"When the master and mistress of a household are away, and the chambermaid's father visits, she pretends to be the real mistress as he is unaware of her lowly position.Slapstick complications... Read all"
Unmögliche Liebe,1932,"Drama, Romance",6.3,Erich Waschneck,A deranged woman artist falls in love with an young sculptor. The impossible love ends tragically.
The Unshod Maiden,1932,Short,4.4,Albert DeMond,"A condensed re-edit of Lois Weber's social drama Shoes (1916), with satirical narration."
Unvergängliches Licht,1951,Drama,5.3,Arthur Maria Rabenalt,
Sawdust Tales,1997,Drama,6.7,Baris Pirhasan,"The bond and conflicts between a father and son, both tightrope walkers stranded in a country amidst ongoing war. The young acrobat falls in love with a mermaid performing at a local fair, n... Read all"
Vain laulajapoikia,1951,"Comedy, Musical, Romance",4.5,Ossi Elstelä,
Los valientes,1979,Animation,5.9,Juan Padrón,
Varastatud kohtumine,1989,Drama,6.8,Leida Laius,"A mother released from prison camp in Russia finds her son, but realises that reconciliation is impossible."
Das Veilchen vom Potsdamer Platz,1936,Drama,6.6,J.A. Hübler-Kahla,"In a poor Berlin neighborhood, a horse used in the WWI cavalry is threatened with slaughter so two sinister types can make some money .But a flower seller, her grandfather, and some other ni... Read all"
Vendetta,1942,"Biography, Drama, Short",6.4,Joseph M. Newman,"The story of Carlo Pozzo di Borgo, a boyhood friend of Napoleon Bonaparte's who later turned against him."
Vihreä leski,1968,"Drama, Romance",5.4,Jaakko Pakkasvirta,"Helinä is tired of her monotonous life revolving around her young children, while her husband is away on business. At the hair salon she meets other frustrated housewives. Together the find ... Read all"
Спецагент в Венеции,1964,"Crime, Thriller",6.0,André Versini,"(1963) Sean Flynn, Madeleine Robinson. Errol's son, Sean plays a sleuth attempting to find a missing husband. He stumbles upon a ring of spies in the process. From 16mm."
Vääpeli Mynkhausen,1957,Comedy,4.0,Aarne Laine,Undisciplined children are sent to their retired general uncle after their father finds about their pranks.
Vääpelin kauhu,1957,"Farce, Comedy",4.9,Esko Töyri,Finnish military farce about elderly man who is commanded back to service.
Westbound Mail,1937,"Drama, Western",6.5,Folmar Blangsted,"The gold mine belonging to ""Gun"" Barlow (Edward Keane) is worked out, and Barlow attempts to buy adjacent land, with the hopes his gold vein will continue, from town postmistress Marion Saun... Read all"
'What's Your 'I.Q.'?': Number Two,1940,Short,5.7,George Sidney,"Questions and answers on various subjects, from Lady Godiva to the Panama Canal."
Who Goes Next?,1938,War,6.0,Maurice Elvey,"During the First World War, a number of captured British officers attempt to escape a prisoner-of-war camp."
The Who Rocks America 1982,1983,Music,7.9,Richard Namm,"The Who presents their last concert of the 1982 ""Farewell"" tour in Toronto, Canada, 1982."
"Wild, Free & Hungry",1969,"Action, Drama",4.6,Paul Hunt,"A carnival owner gets mixed up with gangsters and a speedboat racer. He soon finds himself in danger of losing his business, his wife and all his money."
Wild Horse Round-Up,1936,Western,6.5,Alan James,"The Standard Railroad Company plans to run a line through Wild Horse Valley, and this is known by Charlie Doan, who seeks to buy up all the land in the valley in order to make huge profits b... Read all"
The Wizard's Apprentice,1930,"Fantasy, Short",6.5,Sidney Levee,"A sorcerer leaves his apprentice unsupervised with a tiny nymph and a broom. An early live-action film based on the Goethe poem, using the Dukas score."
Woman in the Rain,1976,Drama,8.0,Paul Hunt,"A once-popular singer gives a candid interview, revealing the sordid details of her rags-to-riches-to-rags odyssey in the tawdry entertainment world."
Wonderguy,1993,"Superhero, Action, Adventure, Comedy, Crime, Fantasy",6.8,Murad Gumen,"Darnel, a short, often humiliated secretary, becomes a super strong and super fast costumed hero after being given a serum."
Yks' tavallinen Virtanen,1959,"Comedy, Musical",4.0,Ville Salminen,
You Can't Beat a Woman!,1997,Documentary,7.3,Gail Singer,
Your Technocracy and Mine,1933,"Comedy, Short",7.1,Robert Benchley,Robert Benchley explains Technocracy with visual aids in his classic befuddled manor.
Wo de shen jing bing,1997,Comedy,6.9,Shaudi Wang,"This is a four-part anthology comedy. The themes of four parts are: car, house, body and friendship. The central characters are a plastic surgeon Chen, a nurse, an experienced maid, three en... Read all"
Комната Фери,1998,"Satire, Comedy, Crime",6.4,Péter Tímár,A 50 year-old entrepreneur Mr. Fikász rents a small resort at lake Balaton. He tries to make a lot of money for his family but along the way he makes a lot of bad decisions.
Zum goldenen Anker,1932,Drama,7.2,Alexander Korda,Simultaneously filmed German version of the Pagnol play Marius. The son of a bar keeper has to choose between the young woman who adores him and the call of the sea.He becomes a sailor.
Baak fan baak ngam 'Feel',1996,"Comedy, Romance",5.9,Joe Ma,
35 Miles from Normal,1997,Drama,4.6,Mark Schwahn,
8 миллиметров,1999,"Crime, Drama, Mystery, Thriller",6.6,Joel Schumacher,"A private investigator is hired to discover if a ""snuff film"" is authentic or not."
The Abduction of Lorelei,1977,"Adult, Crime, Thriller",5.6,Richard Rank,"A beautiful young woman is kidnapped by a gang of low-lifes who demand a $1-million ransom from her wealthy family. However, they can't resist ravishing the lovely Lorelei first."
Total Force 2,1997,"Action, Adventure",4.2,Steven Kaman,A corrupt politician intends to use a powerful weapon to execute an evil plan.
The Adventures of El Frenetico and Go Girl,1993,"Superhero, Action, Comedy",8.3,Pat Bishow,A drunken superhero and his kung-fu fighting girlfriend battle a local evil snack food king when he kidnaps a lady reporter.
Ahlam el-madina,1984,"Biography, Drama",6.8,Mohamed Malas,"A widow called Hayat is forced to move with her two children (Deeb) and (Omar) to reside with her father in Damascus, Deeb is forced to work during his studies so that the mother does not ha... Read all"
Albatross,1985,Drama,5.3,Adalberto Fornario,
Allo Berlin? Ici Paris!,1932,"Comedy, Romance",6.8,Julien Duvivier,Story of a rendezvous in Paris which is prepared through telephone calls between a Berlin telephonist and his female colleague in Paris.
Amor hoi!,1950,Comedy,5.1,Hannu Leminen,
Я вас покупаю,1956,"Drama, Sport",7.0,Masaki Kobayashi,"A talent scout moves sharply, dead-set on signing a promising athlete to his team."
Anticipation,1982,"Adult, Romance",4.7,Carlos Tobalina,"Erotic intrigue comes to a full boil in this story of Jerry and Steve, two brothers who find themselves in a sticky situation when they begin lusting after each other's wives."
Anything for a Thrill,1937,Drama,6.1,Leslie Goodwins,"Don Mallory is the younger brother of ace newsreel photographer Cliff Mallory, and is continually urging Cliff to let him become a cameraman rather than going to college. Cliff refuses. He i... Read all"
Armaan,1953,"Drama, Family",7.5,Fali Mistry,
Asino che legge,1997,Short,8.3,Pietro Reggiani,
Atami satsujin jiken,1986,"Comedy, Mystery",3.2,Kazuo Takahashi,
Attentato ai tre grandi,1967,"Drama, War",5.0,Umberto Lenzi,German commandos are dropped behind enemy lines in the Sahara Desert and tasked with getting to Casablanca to assassinate Allied leaders.
Auf Biegen oder Brechen,1975,,5.8,Hartmut Bitomsky,"Car mechanic Charly Zerbel has little desire for his work and for his boss, who finally fires him. He begins to study engineering but can't survive, so he tries to get his promotion through ... Read all"
Aunt Peg,1980,"Adult, Comedy, Drama",5.9,"Anthony Spinelli, Arthur Cutter",A Hollywood adult film producer tries to get by financially while having numerous sexual encounters to satisfy her insatiable lust for sex.
Bahut Din Huwe...,1954,"Adventure, Drama, Fantasy, Music, Musical",6.7,S.S. Vasan,
Le baiser,1990,Short,7.1,Pascale Ferran,This short consists of portraits of different kinds of couples kissing.
Bang Bang You Got It!,1976,"Adult, Slapstick, Comedy",5.8,Chuck Vincent,"A collection of sketches parodying various porn and TV tropes. Occasionally, between the segments, one of the performers will talk about his or her sexual fantasy in a more serious and strai... Read all"
Battle for Music,1943,"Drama, War",7.1,Donald Taylor,A docu-drama about the troubles of the London Philharmonic Orchestra during World War II.
Un beso a esta tierra,1995,Documentary,7.8,Daniel Goldberg Lerner,"In exploring the history of Jewish immigration to Mexico, A Kiss To This Land presents fragments of memories and oral histories together with vivid depiction of Jews in Mexico in the 1920s a... Read all"
Between the Cheeks,1985,"Adult, Comedy",6.6,Gregory Dark,
Bien sous tous rapports,1996,"Drama, Short",6.3,Marina de Van,Parents walk in on their grown daughter when she's giving her boyfriend a blow-job. Then they analyze her lovemaking habits.
Bikini Summer III: South Beach Heat,1997,"Raunchy Comedy, Comedy",2.9,Ken Blakey,Jamie is a makeup artist for a local bikini contest on the beautiful South Beach of Miami. Her life appears to be falling apart when her boyfriend leaves her in a jealous rage. Her wild and ... Read all
The Blue and the Gray,1935,"Documentary, Short",5.2,"John B. Kennedy, Victor Kilian","This short, the seventh in the 'See America First' series, opens with a slightly corrupted version of the following quote from Walter Scott: ""Breathes there the man, with soul so dead, Who n... Read all"
Una bruna indiavolata!,1951,Comedy,6.4,Carlo Ludovico Bragaglia,Carlo wins some money in a card game and goes to Rome to celebrate. Unfortunately he gets his money stolen and asks a friend of his for a loan. The friend is however about to get married. Th... Read all
Bun for the Money,1990,Adult,6.3,Eric Edwards,
Office Fantasies,1984,Adult,3.1,Roger Stallone,
Burning Desires,1983,Adult,4.8,Hal Freeman,
Neiges brûlantes,1983,"Adult, Drama",5.0,Michel Lemoine,A beautiful Muriel comes to spend her vacation with her friend but everyone mistakes her as a notorious girl Lorna. Now they are trying to find out whether she is really Muriel or Lorna.
Busty Biker Babes,1994,Adult,8.0,"Sarah Jane Hamilton, Chasey Lain, Kaylan Nicole",
Butter,1998,"Action, Thriller",4.3,Peter Gathings Bunche,"Deceit, body heat and pulsing street beats converge in this explosive story about the music industry!"
Buxom Beautease,1956,"Documentary, Music",7.5,Irving Klaw,"At a vaudeville theater, eleven women do striptease dances, with four comedic routines interspersed."
Cabra Marcado Para Morrer,1984,"Documentary, History",8.3,Eduardo Coutinho,A filmmaker returns to Northeast Brazil after twenty years to resume his film (a profile of assassinated peasant leader João Pedro Teixeira) which was shut down by a right-wing military coup... Read all
Calendar Pin-up Girls,1966,Comedy,5.9,John Roscoe,An artist/photographer sketches and takes photos of a bevy of beautiful girls for his new nude calendar layout.
California Cherries,1987,Adult,6.1,"Laurel Canyon, Barbie Doll, Don Fernando",
California Cowgirls,1979,Adult,6.3,R. William,"California Cowgirls are back in the saddle again and loving it. When their cowpoke boyfriend Johnny rides into town, this rangy stud gives them shares of the mother lode without ever leaving... Read all"
California Reaming,1986,Adult,5.7,Steve Drake,
Camera Sleuth,1951,"Crime, Short",6.1,Dave O'Brien,Real-life investigator Jo Goggin uses a motion-picture surveillance camera to gather evidence. This Pete Smith Specialty short (a rare serious entry in the series) dramatizes how Mr. Goggin ... Read all
El camino de la vida,1956,Drama,7.1,Alfonso Corona Blake,"Portrait of the lives of marginalized children in Mexico City, through three juvenile criminals. One killed his stepfather to protect his mother, another blinded his guardian to ward off his... Read all"
Schulmädchen-Report 4. Teil - Was Eltern oft verzweifeln lässt,1972,"Comedy, Drama, Romance",4.5,Ernst Hofbauer,A fake documentary about the sex lives of teenage girls.
Can't Beat the Feeling,1988,Adult,5.2,Ron Jeremy,
Candy Stripers Part II,1985,"Adult, Comedy",6.8,Larry Revene,Those adorable ever-horny angels of mercy are back to make your temperature rise in a laugh-and-lust packed sequel to one of our biggest selling classics of all time. Candy Stripers Angie an... Read all
Candy Stripers 3,1987,"Adult, Comedy",6.1,Larry Revene,
Candy Stripers 4,1990,"Adult, Comedy",6.2,Stuart Canterbury,"These babes turn a big city hospital into a hot harem of sex in this happy, horny comedy full of nasty bedside, bun rocking action."
Candice Candy,1976,Adult,5.6,Pierre Unia,"Big sister Candice who runs a periodical on sexual matters and liberation, and 17-year old little sister Candy still at school, live together. Candice is sexually frigid, while Candy is all ... Read all"
Caresses inavouables,1979,Adult,5.8,Claude Bernard-Aubert,
Carnal Possessions,1988,Adult,4.5,Darin Woods,
Carnal's Cuties,1979,"Adult, Comedy",5.0,William Margold,
La casa 3,1988,"Slasher Horror, Horror, Mystery, Thriller",4.8,Umberto Lenzi,Visions of a deceased girl and her doll bring doom to the visitors of a deserted house.
Casing the Crack,1988,"Adult, Comedy, Mystery",5.0,Ron Jeremy,
Caught from Behind 11,1989,Adult,6.6,"Jerry Butler, Don Fernando, Scott Irish",
Caught from Behind 12,1989,Adult,7.2,"Tina Gordon, Scott Irish, Ron Jeremy",
Caught from Behind 2: The Sequel,1983,Adult,6.2,Hal Freeman,Sensual anal erotica continues in this naughty rear end feature.
Caught from Behind 3,1985,Adult,6.7,Hal Freeman,"While Dr. Proctor is on vacation, His sex clinic is being looked after by his partner Dr. Sheldon. But no matter which Doctor is in charge, each patient gets the same prescription, which is ... Read all"
Caught from Behind 4,1985,Adult,6.7,Hal Freeman,"Analyst Dr. Sheldon plunges deeper into the satisfying world of anal sex, backed up with his new assistant Dawn. He takes us from one scorching scene to the next until we come to the unbelie... Read all"
Caught from Behind 7,1987,Adult,6.4,Hal Freeman,
Caught from Behind 8,1988,Adult,7.0,Hal Freeman,
Caught in the Can,1970,"Comedy, Crime",3.7,Joseph F. Robertson,"Two broke dudes in an effort to make some quick cash dress up as ladies of the night to fleece some sailors. Unfortunately, or not, they end up arrested for prostitution and dumped in the ho... Read all"
Cells of Passion,1981,"Adult, Comedy",5.0,R. Owen Teegee,
Centerfold Fantasies,1997,,8.0,Bob Scott,Escape on an erotic journey through a palatial Beverly Hills estate and climb aboard a yacht for a harbor cruise with your stunningly beautiful hostess Petra Verkaik (Playboy's Newsstand Spe... Read all
Ceremony... The Ritual of Love,1976,"Adult, Drama",4.9,Fred Sand,"During a wedding, we flash back to some of the sexual escapades between the people attending the ceremony. This film has it all - steamy group sex, threesomes, nasty interracial couplings, l... Read all"
Chamber Maids,1974,"Adult, Comedy",6.7,Joey Lambert,"Mary Ellen and Sally, two lovely maids at a local hotel, are tired of their boring, dead-end cleaning jobs. To liven up their work, these two honeys decide to give the guests a little extra ... Read all"
The Champ,1984,Adult,5.4,John Holmes,
